N,P,K,temperature,humidity,ph,rainfall,label
78,57,23,24.55,58.09,6.44,108.46,maize
74,56,28,26.52,72.05,7.22,79.0,maize
73,57,30,26.72,55.72,5.64,91.56,maize
97,65,30,22.34,56.97,6.77,103.63,maize
78,56,33,18.46,70.92,6.09,78.74,maize
66,51,26,25.93,58.4,5.66,103.54,maize
85,42,33,19.43,64.22,6.01,72.77,maize
60,59,33,24.78,58.16,6.38,77.28,maize
84,54,23,20.5,71.91,5.9,79.23,maize
79,42,26,23.75,74.85,6.09,108.9,maize
86,43,26,24.86,69.89,5.6,90.32,maize
80,62,21,25.99,67.14,6.2,91.83,maize
85,55,29,24.59,71.77,6.76,105.17,maize
86,44,24,23.8,69.65,5.68,74.76,maize
90,40,18,23.39,74.43,6.56,105.67,maize
93,43,31,22.82,71.13,6.99,76.94,maize
65,64,18,27.67,72.2,6.95,109.0,maize
99,59,22,25.91,55.28,6.57,82.74,maize
87,55,27,26.22,73.81,5.72,71.69,maize
61,62,26,27.15,59.43,5.63,101.19,maize
96,44,23,19.4,73.93,6.11,84.63,maize
64,62,18,22.54,68.41,6.99,107.3,maize
77,57,18,22.15,56.98,6.48,80.41,maize
98,36,22,22.43,74.01,7.21,64.97,maize
87,51,35,21.59,62.96,5.88,66.11,maize
94,49,28,24.42,66.94,5.54,99.34,maize
70,39,26,18.69,70.3,5.91,70.8,maize
95,45,18,27.01,55.06,7.22,67.23,maize
65,43,18,24.61,55.52,5.53,99.5,maize
70,45,18,18.52,69.83,6.55,97.28,maize
79,58,25,19.09,65.08,7.39,62.17,maize
91,61,25,22.58,74.28,5.62,83.95,maize
76,56,25,27.1,56.47,5.66,90.41,maize
63,43,28,23.48,61.5,7.49,86.53,maize
78,53,17,25.02,72.06,6.8,98.45,maize
89,41,24,20.28,61.78,6.41,80.8,maize
64,48,28,21.74,58.05,7.35,63.36,maize
93,38,17,25.39,71.24,6.61,89.32,maize
82,45,17,21.54,68.31,7.0,103.4,maize
89,64,27,21.52,66.56,5.93,92.84,maize
69,38,32,21.68,70.25,6.65,100.36,maize
94,64,31,24.14,67.85,5.55,106.45,maize
93,43,19,25.03,61.18,6.18,60.31,maize
95,52,23,19.42,67.66,5.56,97.31,maize
69,48,22,21.7,69.43,7.05,88.38,maize
63,37,18,24.18,68.48,6.04,93.1,maize
79,48,20,25.55,57.28,6.36,74.16,maize
87,50,28,18.45,62.91,6.7,60.38,maize
72,41,18,20.56,61.56,5.52,97.35,maize
67,46,29,23.0,71.67,7.11,63.6,maize
94,36,15,27.21,72.24,6.65,88.67,maize
88,48,17,18.21,61.5,7.1,90.91,maize
93,63,17,26.44,59.87,6.68,86.2,maize
76,44,22,21.33,58.36,6.52,65.7,maize
80,62,22,25.27,71.38,7.13,71.81,maize
66,41,27,25.6,68.11,5.85,98.64,maize
80,58,30,22.49,73.48,6.63,91.76,maize
85,61,28,19.51,56.37,6.38,75.14,maize
71,37,25,21.1,64.04,5.61,101.58,maize
63,61,32,24.15,65.14,6.43,87.72,maize
92,62,24,26.1,68.04,6.14,83.78,maize
66,37,17,26.99,61.87,6.93,85.23,maize
67,42,24,22.39,65.45,5.82,78.64,maize
71,47,22,23.98,70.78,6.79,63.3,maize
64,55,21,25.24,68.13,7.31,103.66,maize
73,52,18,21.5,74.35,6.9,79.6,maize
84,63,21,21.77,70.83,7.13,93.51,maize
93,57,29,23.26,67.92,6.35,78.09,maize
74,40,19,27.48,64.73,5.95,66.88,maize
63,60,17,25.71,71.7,7.27,61.89,maize
73,58,18,21.77,58.24,7.16,98.55,maize
92,40,24,22.11,68.53,5.98,82.21,maize
71,57,24,23.34,61.19,7.12,83.45,maize
93,46,34,27.84,64.23,6.06,79.09,maize
81,64,31,26.01,57.77,6.0,92.06,maize
95,52,17,26.46,72.02,6.07,98.16,maize
71,62,18,22.37,73.93,5.94,82.56,maize
74,36,16,23.02,59.72,7.49,78.75,maize
61,63,32,24.5,70.83,5.78,74.34,maize
93,56,18,25.06,63.97,5.51,63.96,maize
70,60,26,25.27,65.56,5.72,74.41,maize
24,56,79,20.56,16.74,6.91,92.15,chickpea
33,55,80,16.69,14.86,7.23,83.44,chickpea
22,68,82,15.6,19.85,6.87,80.78,chickpea
30,85,81,17.73,16.82,7.44,94.43,chickpea
23,55,83,17.41,18.4,7.43,88.15,chickpea
37,65,75,18.82,18.88,6.98,88.37,chickpea
29,76,81,20.68,14.38,7.58,78.73,chickpea
24,56,77,15.29,19.6,7.32,94.67,chickpea
31,63,83,16.34,16.14,7.58,90.97,chickpea
25,59,79,21.23,18.46,7.69,76.6,chickpea
44,70,80,21.47,17.12,7.6,86.81,chickpea
17,73,83,18.82,15.93,6.88,84.83,chickpea
24,73,79,19.83,16.11,6.84,91.1,chickpea
26,85,78,21.86,19.69,6.88,84.13,chickpea
26,79,82,21.67,14.86,7.41,88.44,chickpea
16,57,83,17.56,16.3,7.37,83.15,chickpea
35,83,79,20.34,17.44,7.33,76.94,chickpea
34,62,76,20.15,16.99,7.19,81.85,chickpea
23,63,79,21.97,15.71,7.72,79.74,chickpea
19,81,80,21.29,16.67,6.89,85.46,chickpea
40,65,78,15.45,17.25,7.69,90.54,chickpea
36,83,81,20.56,17.05,6.92,71.03,chickpea
19,79,75,18.88,16.21,7.6,81.55,chickpea
33,58,78,22.0,18.31,7.33,88.07,chickpea
40,57,85,19.5,16.7,7.48,75.34,chickpea
41,78,81,16.27,19.8,7.23,92.32,chickpea
17,59,77,16.15,15.94,7.51,75.38,chickpea
43,82,83,16.75,17.81,7.35,68.76,chickpea
24,71,80,16.18,19.65,6.95,84.76,chickpea
37,73,83,18.95,18.95,6.83,66.36,chickpea
34,72,82,20.37,16.5,7.44,79.94,chickpea
34,64,85,18.38,18.83,7.48,73.92,chickpea
17,57,79,18.39,15.22,7.41,74.38,chickpea
37,77,84,21.83,14.78,7.17,81.85,chickpea
25,69,78,16.74,14.58,7.09,76.52,chickpea
33,62,84,16.12,15.96,7.38,74.38,chickpea
38,70,80,18.49,15.85,6.82,93.36,chickpea
30,84,77,17.47,14.3,7.29,91.47,chickpea
35,69,80,20.93,16.59,7.68,86.83,chickpea
38,66,79,18.99,15.17,7.35,67.21,chickpea
30,78,78,21.92,18.08,6.92,94.25,chickpea
27,79,78,21.57,18.53,7.0,80.27,chickpea
30,56,76,17.33,16.84,7.26,83.19,chickpea
30,65,81,16.14,19.94,7.54,73.98,chickpea
25,80,80,19.96,15.8,7.62,76.05,chickpea
35,84,81,20.58,18.35,7.49,65.8,chickpea
29,84,83,20.43,17.47,7.52,82.51,chickpea
20,74,81,20.89,14.89,7.48,65.95,chickpea
43,58,75,17.2,14.91,7.49,77.31,chickpea
38,83,84,20.15,14.37,6.94,71.22,chickpea
25,75,80,17.2,15.04,7.71,75.27,chickpea
26,78,82,19.5,18.16,7.41,70.77,chickpea
22,72,77,21.81,15.79,7.09,71.22,chickpea
36,65,78,21.54,18.77,7.07,68.66,chickpea
35,66,85,20.73,19.73,7.6,73.71,chickpea
24,76,78,18.1,15.54,7.28,71.06,chickpea
31,83,82,15.96,17.69,7.39,72.27,chickpea
35,71,81,15.37,16.48,7.52,68.02,chickpea
38,55,80,21.5,16.44,7.74,91.35,chickpea
29,61,85,17.25,17.88,7.71,67.68,chickpea
32,71,82,21.56,19.48,6.98,91.47,chickpea
20,83,85,17.78,16.97,7.74,93.86,chickpea
43,81,75,18.98,14.64,7.78,73.54,chickpea
45,71,80,21.57,19.11,7.27,70.78,chickpea
18,60,80,16.8,15.12,7.54,88.72,chickpea
32,78,77,20.99,19.38,7.63,80.46,chickpea
18,75,77,15.98,15.94,7.05,72.82,chickpea
22,78,85,17.11,18.34,6.81,84.61,chickpea
36,57,76,17.15,16.43,7.3,91.85,chickpea
36,64,76,21.41,15.77,7.41,71.57,chickpea
19,60,82,19.24,16.5,7.35,79.12,chickpea
31,75,77,16.73,18.53,7.67,67.46,chickpea
28,76,76,18.95,14.37,7.35,80.16,chickpea
32,60,78,18.64,14.7,7.01,82.49,chickpea
18,70,83,18.17,17.08,7.26,66.73,chickpea
29,79,82,17.77,18.9,7.55,82.35,chickpea
16,65,76,21.96,19.61,6.87,93.01,chickpea
16,67,83,20.36,19.87,7.45,77.61,chickpea
45,66,84,21.35,16.25,7.48,84.85,chickpea
31,75,78,16.25,17.22,7.33,86.84,chickpea
22,55,75,17.09,18.04,7.34,80.96,chickpea
40,62,78,16.93,19.62,7.53,68.39,chickpea
39,68,83,21.19,14.09,7.01,68.03,chickpea
16,73,82,15.34,18.44,7.2,72.03,chickpea
22,81,76,18.53,15.74,7.62,86.95,chickpea
25,73,82,17.24,15.81,6.94,84.81,chickpea
22,64,76,21.64,19.28,7.71,83.78,chickpea
28,70,85,21.59,18.03,7.59,74.56,chickpea
27,59,79,20.28,16.84,7.65,74.02,chickpea
36,79,84,18.94,19.81,7.36,69.02,chickpea
22,61,81,21.46,19.08,6.89,86.74,chickpea
21,63,82,19.22,19.24,6.99,87.85,chickpea
37,72,80,21.09,16.0,7.76,65.46,chickpea
43,84,76,22.0,16.87,7.04,83.13,chickpea
21,82,81,20.43,16.28,7.33,75.78,chickpea
23,70,80,15.69,19.89,7.27,90.19,chickpea
42,66,79,18.94,15.33,6.95,72.82,chickpea
43,72,79,16.07,15.98,7.18,90.0,chickpea
30,75,82,16.8,18.93,7.77,84.25,chickpea
30,60,83,16.18,18.32,7.29,92.51,chickpea
26,71,16,15.24,23.08,6.92,100.09,kidneybeans
30,65,28,16.62,22.24,5.51,90.34,kidneybeans
22,70,25,19.32,20.9,6.23,60.4,kidneybeans
26,55,23,16.92,23.86,5.53,108.79,kidneybeans
28,75,29,15.75,18.58,5.72,71.52,kidneybeans
26,75,19,17.78,20.24,6.11,93.9,kidneybeans
35,61,25,20.94,21.92,6.79,105.58,kidneybeans
17,64,23,15.39,18.06,5.76,89.99,kidneybeans
24,75,23,21.01,18.57,6.29,62.55,kidneybeans
19,77,28,18.33,18.28,5.61,115.54,kidneybeans
33,69,15,21.5,19.89,6.94,95.22,kidneybeans
30,73,21,15.54,18.97,5.86,110.08,kidneybeans
23,77,20,20.29,18.84,6.98,103.45,kidneybeans
25,79,16,18.06,23.03,6.01,106.14,kidneybeans
34,65,27,15.21,19.64,6.99,89.44,kidneybeans
22,79,21,19.76,21.96,5.63,97.12,kidneybeans
31,73,16,16.08,22.27,6.45,104.38,kidneybeans
21,58,15,17.16,20.16,5.9,67.95,kidneybeans
19,66,23,17.86,18.16,6.03,65.58,kidneybeans
27,63,21,17.04,20.33,5.63,114.07,kidneybeans
33,79,24,16.19,20.28,5.71,78.07,kidneybeans
25,57,22,17.95,20.91,5.62,75.1,kidneybeans
20,71,24,16.37,18.64,5.96,116.93,kidneybeans
22,70,27,17.31,20.01,6.72,111.57,kidneybeans
34,58,20,21.63,19.21,5.97,117.87,kidneybeans
34,62,25,18.44,21.46,5.86,82.56,kidneybeans
31,65,17,18.95,21.55,6.32,100.9,kidneybeans
26,79,22,19.96,20.63,5.94,101.57,kidneybeans
31,75,21,18.5,21.8,5.86,99.52,kidneybeans
29,75,16,21.93,20.88,6.1,90.4,kidneybeans
33,72,23,20.54,20.16,6.84,92.21,kidneybeans
28,57,27,19.6,20.13,6.47,62.66,kidneybeans
35,72,21,20.27,23.79,6.15,60.63,kidneybeans
20,68,23,19.06,21.45,6.17,83.47,kidneybeans
30,70,23,17.41,18.15,5.66,84.96,kidneybeans
34,58,29,15.99,19.87,6.18,72.41,kidneybeans
25,67,22,19.88,19.91,5.95,108.61,kidneybeans
17,76,25,19.74,18.99,6.98,74.63,kidneybeans
18,59,23,21.71,19.39,6.11,71.07,kidneybeans
28,66,15,19.3,19.18,6.39,83.33,kidneybeans
29,60,26,20.66,18.38,5.65,112.32,kidneybeans
19,63,22,16.84,23.18,6.29,98.35,kidneybeans
27,70,24,17.44,23.07,6.43,108.82,kidneybeans
29,62,24,15.59,18.8,5.68,78.32,kidneybeans
19,72,23,17.93,18.83,6.08,71.15,kidneybeans
28,72,25,22.0,21.33,6.23,68.42,kidneybeans
21,66,16,17.51,18.06,5.7,108.91,kidneybeans
34,68,22,19.79,20.49,6.76,89.32,kidneybeans
17,56,26,17.04,19.65,6.31,70.09,kidneybeans
24,74,26,18.85,18.68,5.67,106.51,kidneybeans
31,64,27,15.29,22.31,6.32,119.39,kidneybeans
17,76,26,17.08,24.0,6.17,80.91,kidneybeans
31,66,30,20.43,19.42,6.72,95.28,kidneybeans
22,73,24,16.16,18.84,5.81,72.42,kidneybeans
16,64,19,18.77,19.94,6.56,77.36,kidneybeans
20,76,30,19.76,18.57,6.94,107.14,kidneybeans
33,80,28,15.89,23.2,5.87,102.68,kidneybeans
32,74,25,18.43,21.46,5.9,84.85,kidneybeans
24,71,28,15.65,21.09,5.92,116.18,kidneybeans
22,79,20,15.02,22.64,6.6,103.86,kidneybeans
24,72,20,15.44,21.21,5.83,85.78,kidneybeans
19,62,27,17.36,21.47,6.35,89.12,kidneybeans
22,72,16,15.7,22.7,6.19,67.45,kidneybeans
32,66,15,21.71,19.21,6.53,67.91,kidneybeans
28,59,29,16.92,21.93,5.88,82.31,kidneybeans
33,59,21,17.14,22.2,5.85,99.33,kidneybeans
29,55,22,15.93,19.36,6.52,60.56,kidneybeans
29,75,30,17.96,18.79,5.61,82.98,kidneybeans
30,58,20,21.17,18.82,6.66,105.19,kidneybeans
18,80,17,18.71,18.05,6.48,86.41,kidneybeans
29,71,17,17.88,22.12,6.79,65.2,kidneybeans
17,74,24,17.69,23.78,5.97,68.39,kidneybeans
21,57,23,19.2,21.65,6.67,101.43,kidneybeans
32,71,20,18.62,21.06,6.62,77.73,kidneybeans
16,77,29,18.46,18.68,6.25,95.64,kidneybeans
26,79,30,21.54,18.79,6.79,94.1,kidneybeans
22,72,26,21.68,22.62,5.53,64.05,kidneybeans
20,56,16,20.53,21.04,6.44,90.06,kidneybeans
23,73,16,18.76,21.7,5.92,78.59,kidneybeans
25,60,27,18.75,20.34,6.45,110.07,kidneybeans
29,57,25,20.11,23.08,5.59,65.17,kidneybeans
24,66,24,17.17,22.45,6.61,67.17,kidneybeans
29,73,17,21.67,21.14,6.67,103.25,kidneybeans
18,58,27,16.88,23.32,6.66,61.76,kidneybeans
31,62,16,19.99,21.46,5.62,87.31,kidneybeans
22,67,24,17.57,19.53,5.65,94.43,kidneybeans
29,61,23,15.31,23.18,5.87,88.31,kidneybeans
23,59,29,21.0,21.32,6.87,104.44,kidneybeans
23,63,21,20.04,19.63,5.62,82.37,kidneybeans
25,78,18,20.63,23.89,6.93,64.14,kidneybeans
24,62,28,17.29,21.32,5.51,72.04,kidneybeans
26,63,24,18.25,21.55,6.24,106.36,kidneybeans
19,78,26,16.72,18.04,6.12,73.98,kidneybeans
22,76,28,21.66,18.01,6.49,110.94,kidneybeans
30,58,23,16.67,20.95,5.59,119.82,kidneybeans
29,57,29,21.28,21.12,6.55,82.35,kidneybeans
34,57,16,15.93,22.92,5.61,94.07,kidneybeans
24,79,19,16.83,19.89,6.7,102.04,kidneybeans
30,63,19,15.52,19.22,6.67,95.08,kidneybeans
18,59,22,17.85,21.22,6.95,72.46,kidneybeans
23,62,17,20.84,54.01,6.98,154.84,pigeonpeas
16,76,20,19.64,38.69,5.57,145.67,pigeonpeas
32,62,30,18.56,44.15,5.86,157.4,pigeonpeas
21,67,27,20.52,30.42,6.99,169.13,pigeonpeas
18,76,21,29.35,52.56,6.25,132.94,pigeonpeas
35,56,16,34.24,45.52,4.89,165.25,pigeonpeas
36,63,16,26.3,35.88,6.22,161.08,pigeonpeas
25,56,25,21.11,37.52,5.06,133.99,pigeonpeas
37,56,24,22.42,40.33,5.74,147.53,pigeonpeas
17,62,17,21.59,60.96,6.08,151.54,pigeonpeas
35,75,30,32.07,42.57,6.13,144.23,pigeonpeas
38,68,21,21.24,41.16,5.16,164.79,pigeonpeas
34,56,30,27.53,56.84,7.5,168.7,pigeonpeas
18,71,19,32.69,62.1,4.67,169.82,pigeonpeas
20,76,27,24.39,59.37,7.04,128.81,pigeonpeas
30,75,25,34.45,30.99,6.6,167.38,pigeonpeas
29,69,18,35.78,60.86,5.98,135.45,pigeonpeas
27,57,18,21.94,48.43,4.5,165.89,pigeonpeas
20,58,26,34.54,59.55,5.47,121.1,pigeonpeas
30,78,27,33.24,60.12,7.38,138.68,pigeonpeas
39,65,17,23.43,34.78,4.97,167.43,pigeonpeas
35,79,25,21.14,63.91,6.58,166.44,pigeonpeas
35,61,24,21.16,40.74,6.57,126.37,pigeonpeas
33,79,29,25.05,64.8,7.4,121.62,pigeonpeas
30,78,30,21.98,49.79,7.31,127.03,pigeonpeas
34,61,30,21.02,60.99,4.77,155.45,pigeonpeas
31,77,22,22.77,38.73,4.7,132.83,pigeonpeas
18,55,21,31.19,63.92,7.15,144.65,pigeonpeas
24,69,17,26.63,60.24,6.45,154.36,pigeonpeas
19,57,28,23.31,41.16,7.35,123.71,pigeonpeas
19,64,26,27.85,61.43,4.78,149.7,pigeonpeas
30,67,15,34.96,35.77,7.17,127.86,pigeonpeas
18,60,18,30.55,55.27,6.69,133.26,pigeonpeas
22,61,16,28.29,59.39,4.96,138.04,pigeonpeas
26,62,25,28.8,36.99,4.58,128.54,pigeonpeas
22,57,28,23.55,43.91,5.97,153.05,pigeonpeas
17,69,18,33.94,42.93,5.84,133.16,pigeonpeas
27,61,19,19.11,56.33,6.5,124.29,pigeonpeas
24,69,30,28.62,49.38,7.02,160.92,pigeonpeas
25,68,28,26.55,60.86,5.93,123.95,pigeonpeas
38,73,23,34.21,58.02,6.53,151.01,pigeonpeas
18,74,18,35.72,64.03,6.93,126.31,pigeonpeas
26,80,22,35.95,51.95,7.0,132.89,pigeonpeas
38,78,16,24.99,43.91,5.48,133.81,pigeonpeas
26,77,27,29.22,48.29,5.76,140.72,pigeonpeas
19,70,26,34.91,62.37,6.19,125.05,pigeonpeas
22,68,20,25.4,43.41,5.96,150.45,pigeonpeas
16,62,17,28.96,54.28,4.62,164.48,pigeonpeas
23,61,26,34.58,61.4,4.56,160.87,pigeonpeas
23,62,22,30.53,33.44,7.11,126.72,pigeonpeas
39,66,27,22.85,44.59,6.44,129.4,pigeonpeas
20,76,26,31.67,60.35,6.96,145.76,pigeonpeas
19,63,23,20.44,59.8,7.14,121.45,pigeonpeas
20,76,28,22.49,45.98,7.25,155.23,pigeonpeas
22,76,23,29.44,34.34,4.59,138.62,pigeonpeas
30,59,28,28.56,42.24,4.99,164.72,pigeonpeas
34,72,19,24.96,35.7,6.22,168.25,pigeonpeas
36,71,25,22.84,44.33,4.56,159.02,pigeonpeas
34,55,29,29.65,51.04,4.53,132.62,pigeonpeas
35,63,30,29.57,44.83,5.63,137.44,pigeonpeas
21,67,25,32.84,43.9,4.81,145.58,pigeonpeas
32,76,21,29.65,51.32,5.4,125.41,pigeonpeas
17,80,25,33.51,39.14,6.63,164.62,pigeonpeas
22,59,26,34.19,58.19,6.91,150.0,pigeonpeas
32,72,26,29.8,64.91,5.28,140.93,pigeonpeas
25,56,26,28.3,36.65,6.68,131.12,pigeonpeas
28,75,29,30.09,47.76,7.04,162.03,pigeonpeas
37,60,16,20.3,39.05,6.93,158.15,pigeonpeas
20,72,20,19.61,42.43,6.73,135.35,pigeonpeas
35,63,19,23.29,59.79,5.91,163.32,pigeonpeas
30,79,16,34.01,47.52,7.1,139.08,pigeonpeas
22,56,28,20.47,37.01,5.73,148.47,pigeonpeas
38,66,20,30.88,57.26,5.96,151.55,pigeonpeas
19,71,15,22.92,56.64,5.01,158.22,pigeonpeas
27,74,16,29.06,52.17,5.71,168.27,pigeonpeas
25,56,18,24.72,30.49,5.47,161.66,pigeonpeas
20,72,24,22.48,54.27,5.53,126.45,pigeonpeas
25,70,18,32.83,40.44,5.37,156.39,pigeonpeas
30,63,28,35.92,42.0,7.2,137.96,pigeonpeas
20,79,29,25.26,37.99,6.68,126.56,pigeonpeas
33,70,18,24.6,52.77,4.61,163.83,pigeonpeas
21,68,16,35.9,53.17,6.46,120.99,pigeonpeas
32,65,21,27.85,46.6,4.96,154.76,pigeonpeas
31,63,25,29.92,39.45,6.32,126.86,pigeonpeas
36,58,26,20.12,33.99,4.82,129.93,pigeonpeas
20,62,23,21.63,54.62,5.39,121.97,pigeonpeas
27,60,29,23.95,30.1,6.51,165.34,pigeonpeas
36,72,17,19.62,47.91,6.67,125.06,pigeonpeas
21,61,30,23.33,46.25,4.8,128.74,pigeonpeas
16,62,27,23.63,55.85,4.78,157.91,pigeonpeas
16,76,25,21.07,42.51,5.81,151.09,pigeonpeas
37,57,27,21.29,44.03,7.39,133.59,pigeonpeas
25,76,27,29.68,57.89,4.84,154.81,pigeonpeas
16,79,17,25.49,50.68,6.91,153.92,pigeonpeas
20,64,20,18.52,53.96,7.02,168.67,pigeonpeas
18,78,17,25.4,31.61,5.28,135.71,pigeonpeas
33,72,27,28.38,49.78,7.43,153.49,pigeonpeas
23,68,26,19.71,53.16,5.25,137.29,pigeonpeas
32,65,28,28.05,64.57,4.66,152.17,pigeonpeas
19,76,28,33.65,32.62,5.97,132.04,pigeonpeas
34,41,18,29.15,50.08,4.44,48.36,mothbeans
31,51,28,27.58,42.97,5.49,56.13,mothbeans
17,50,23,24.0,42.27,5.92,54.76,mothbeans
21,53,18,29.37,63.76,4.95,32.17,mothbeans
19,51,23,28.96,51.83,6.13,58.64,mothbeans
17,59,18,26.73,60.75,7.36,41.68,mothbeans
25,58,16,25.31,43.51,6.37,58.86,mothbeans
17,55,18,31.44,49.82,5.33,61.26,mothbeans
29,43,21,31.41,60.94,5.86,60.89,mothbeans
24,56,29,25.08,52.47,5.62,31.94,mothbeans
34,61,22,28.07,63.03,4.21,53.14,mothbeans
30,43,21,28.8,62.07,5.52,45.39,mothbeans
